seed,context,n,difficulty,queue_s,rtt_s,fail_prob,deadline_s,volatility,reuse_count,qpu_error,outage,action,quality_loss,delay_s,infeasible,energy_j,money,deadline_miss,utility
8,0,12,1.141905808917137,0.31513091620723854,0.03843323501236032,0.003188900710973564,1.852299167346371,0.06527653285554337,29,0.00688634485401812,0,invoke-QPU,0.045948188996998374,0.4965271729684575,0,5.5120000000000005,0.000512,0,-0.13703176131694395
8,0,12,1.141905808917137,0.31513091620723854,0.03843323501236032,0.003188900710973564,1.852299167346371,0.06527653285554337,29,0.00688634485401812,0,remote-sim,0.06900967909308858,0.07861518395575512,0,19.65379598893878,7.861518395575513e-07,0,-0.19210348925713155
8,0,12,1.141905808917137,0.31513091620723854,0.03843323501236032,0.003188900710973564,1.852299167346371,0.06527653285554337,29,0.00688634485401812,0,local-sim,0.09704392788604925,0.10106262068965517,0,0.8085009655172414,0.0,0,-0.10849195115906829
8,0,12,1.141905808917137,0.31513091620723854,0.03843323501236032,0.003188900710973564,1.852299167346371,0.06527653285554337,29,0.00688634485401812,0,fallback,0.20503169151085213,0.025,0,0.2,0.0,0,-0.20786360483224073
8,1,12,1.1885587542477862,0.3689836008245688,0.03489327281646912,0.001358284675750073,2.040549382702469,0.09538314165980043,3,0.013771059795368659,0,invoke-QPU,0.06125567066827978,0.5995300859406428,0,5.5120000000000005,0.000512,0,-0.17711273378486841
8,1,12,1.1885587542477862,0.3689836008245688,0.03489327281646912,0.001358284675750073,2.040549382702469,0.09538314165980043,3,0.013771059795368659,0,remote-sim,0.06474998922017638,0.0864777882996049,0,21.619447074901224,8.64777882996049e-07,0,-0.20275843369554097
8,1,12,1.1885587542477862,0.3689836008245688,0.03489327281646912,0.001358284675750073,2.040549382702469,0.09538314165980043,3,0.013771059795368659,0,local-sim,0.09449251350669573,0.12497066666666667,0,0.9997653333333334,0.0,0,-0.1124112003086821
8,1,12,1.1885587542477862,0.3689836008245688,0.03489327281646912,0.001358284675750073,2.040549382702469,0.09538314165980043,3,0.013771059795368659,0,fallback,0.20960552934076804,0.025,0,0.2,0.0,0,-0.21319010788226306
8,2,12,0.851731492816561,0.6604161529434234,3.1001610782634272,0.237896164444624,2.7876808585628226,0.039330796478798766,4,0.009561302501820908,1,invoke-QPU,0.046452378468844466,10.070099387733704,0,5.5120000000000005,0.000512,1,-2.501189408009075
8,2,12,0.851731492816561,0.6604161529434234,3.1001610782634272,0.237896164444624,2.7876808585628226,0.039330796478798766,4,0.009561302501820908,1,remote-sim,0.060723099804935544,6.212846732526855,0,1553.2116831317137,6.212846732526856e-05,1,-11.627455832352464
8,2,12,0.851731492816561,0.6604161529434234,3.1001610782634272,0.237896164444624,2.7876808585628226,0.039330796478798766,4,0.009561302501820908,1,local-sim,0.08835347807932346,0.118304,0,0.946432,0.0,0,-0.09868506062595127
